step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
256,CASH_OUT,102374.91,C1506326478,0.0,0.0,C960342044,441735.68,544110.6,0,0
39,CASH_IN,52603.88,C1586259661,0.0,52603.88,C689801978,1292141.22,1239537.34,0,0
354,CASH_IN,153539.73,C643389035,17270145.59,17423685.32,C973377673,283690.86,130151.14,0,0
403,PAYMENT,9025.59,C688059822,0.0,0.0,M1128680295,0.0,0.0,0,0
212,PAYMENT,8224.51,C414719096,52563.03,44338.52,M748644306,0.0,0.0,0,0
132,PAYMENT,48052.83,C1196424520,0.0,0.0,M1254110663,0.0,0.0,0,0
275,CASH_IN,82965.62,C1021386932,20031529.87,20114495.48,C1637117277,831361.19,748395.57,0,0
228,CASH_OUT,251227.51,C2055777338,378009.0,126781.49,C775709079,2609923.91,2861151.42,0,0
133,PAYMENT,5480.94,C630429720,116591.29,111110.35,M1672194535,0.0,0.0,0,0
370,TRANSFER,3016800.4,C158866220,80921.0,0.0,C1028392428,1085986.35,4102786.75,0,0
351,CASH_IN,240847.15,C1560356104,18786685.34,19027532.5,C1292857968,298243.51,57396.36,0,0
186,CASH_OUT,111275.64,C1835449594,0.0,0.0,C1491478950,3477703.18,3588978.82,0,0
331,PAYMENT,280.67,C964911487,59876.12,59595.45,M124895062,0.0,0.0,0,0
279,TRANSFER,465494.02,C1038634314,65641.0,0.0,C678263163,389539.68,855033.69,0,0
358,CASH_OUT,128048.2,C1278776033,23.0,0.0,C630371504,102060.87,230109.07,0,0
283,CASH_OUT,234517.26,C2068916131,0.0,0.0,C1026497058,1977772.69,2212289.94,0,0
259,CASH_OUT,128911.56,C1984505003,0.0,0.0,C968800171,3791208.02,3920119.58,0,0
184,CASH_OUT,145567.87,C372324272,33211.0,0.0,C1461558906,2819735.47,2965303.34,0,0
236,CASH_IN,69357.79,C967624386,10315.0,79672.79,C652736449,184533.21,115175.42,0,0
405,PAYMENT,9958.03,C1345244918,501457.75,491499.72,M1153704421,0.0,0.0,0,0
400,PAYMENT,9885.67,C177807666,50629.21,40743.54,M1496064098,0.0,0.0,0,0
257,CASH_OUT,17215.95,C420485053,32823.0,15607.05,C1987617804,875485.18,892701.12,0,0
142,PAYMENT,974.24,C463389361,0.0,0.0,M1657812328,0.0,0.0,0,0
37,PAYMENT,3846.46,C567297402,117683.13,113836.67,M508120846,0.0,0.0,0,0
355,CASH_OUT,69847.11,C24735483,0.0,0.0,C212639969,1638457.37,1858221.96,0,0
299,CASH_IN,33467.83,C26543917,3985576.24,4019044.07,C315579706,4574965.62,4541497.79,0,0
43,PAYMENT,9788.1,C1839111164,0.0,0.0,M713724367,0.0,0.0,0,0
139,CASH_OUT,65896.63,C1890629887,0.0,0.0,C726830470,69381.1,135277.74,0,0
348,PAYMENT,32880.98,C812894330,0.0,0.0,M1770643692,0.0,0.0,0,0
158,CASH_OUT,496593.37,C1821219525,0.0,0.0,C1841236490,1285293.3,1688420.19,0,0
357,CASH_OUT,43504.96,C382817535,0.0,0.0,C382428305,135492.12,178997.08,0,0
211,CASH_IN,200655.45,C1970825939,4492789.79,4693445.25,C614627186,846628.66,645973.21,0,0
402,PAYMENT,26038.43,C1675786523,11586.0,0.0,M59355589,0.0,0.0,0,0
687,CASH_OUT,199088.72,C112445639,502950.0,303861.28,C1515099931,0.0,199088.72,0,0
164,PAYMENT,6353.0,C1635745910,30379.75,24026.75,M323714657,0.0,0.0,0,0
373,PAYMENT,36388.1,C237334459,383196.82,346808.72,M212052173,0.0,0.0,0,0
571,CASH_IN,203107.18,C1312269209,939444.0,1142551.18,C2090034164,57813.65,0.0,0,0
284,PAYMENT,927.75,C2141318676,0.0,0.0,M310263924,0.0,0.0,0,0
207,CASH_IN,253237.53,C989903219,32155.0,285392.53,C1705242418,625685.6,372448.07,0,0
396,PAYMENT,13863.57,C182319614,0.0,0.0,M110090379,0.0,0.0,0,0
307,CASH_OUT,45594.15,C263014374,621942.89,576348.74,C1643019761,2055762.47,2101356.62,0,0
420,CASH_OUT,139176.63,C669848768,12112.0,0.0,C568040473,0.0,139176.63,0,0
153,TRANSFER,287487.94,C352393745,0.0,0.0,C1773068773,2164686.71,2452174.65,0,0
335,CASH_IN,144313.6,C1338231618,4170880.63,4315194.23,C93307438,3324972.03,3180658.43,0,0
157,PAYMENT,12496.61,C2028536449,0.0,0.0,M1455601086,0.0,0.0,0,0
325,CASH_OUT,13118.72,C746733678,0.0,0.0,C1546899704,5260998.3,5274117.02,0,0
370,CASH_IN,205047.31,C617702886,10007.0,215054.31,C434994343,547517.51,342470.2,0,0
327,PAYMENT,20864.77,C268871648,122399.0,101534.23,M402538571,0.0,0.0,0,0
14,CASH_IN,94193.0,C1794203294,53477.0,147670.0,C1557335188,151019.0,56826.0,0,0
259,PAYMENT,2767.48,C1275899440,424.0,0.0,M1058954198,0.0,0.0,0,0
180,CASH_OUT,4228.62,C491426584,0.0,0.0,C1238716256,63030.61,67259.23,0,0
140,CASH_IN,51630.99,C1565080493,7036721.01,7088352.0,C768211418,741555.36,689924.37,0,0
33,CASH_OUT,215753.75,C889229809,0.0,0.0,C1008927906,1784973.31,2000727.06,0,0
42,CASH_IN,79197.71,C985812089,154538.0,233735.71,C498951828,203327.34,124129.62,0,0
160,PAYMENT,13984.55,C261486680,0.0,0.0,M1014715686,0.0,0.0,0,0
326,CASH_IN,87387.68,C678219851,21926.0,109313.68,C1424678147,0.0,0.0,0,0
408,PAYMENT,8058.95,C1899821143,0.0,0.0,M744063688,0.0,0.0,0,0
18,CASH_OUT,191410.98,C193854887,0.0,0.0,C1186916406,454386.9,938566.21,0,0
254,TRANSFER,611336.08,C1686031935,11157.0,0.0,C1258910759,1925903.18,2537239.26,0,0
153,TRANSFER,23707.39,C1571044354,0.0,0.0,C2114600889,1048224.39,1071931.78,0,0
189,CASH_OUT,99220.64,C1091142562,0.0,0.0,C104243193,3883468.13,3982688.77,0,0
15,CASH_IN,187074.18,C1713986233,6396632.71,6583706.89,C1559145228,1155130.05,1111916.94,0,0
255,CASH_IN,148791.15,C741699370,6779041.26,6927832.41,C1056543419,1827312.7,1678521.55,0,0
9,PAYMENT,38900.54,C862896237,0.0,0.0,M129139262,0.0,0.0,0,0
596,PAYMENT,9558.42,C1958566864,186167.96,176609.55,M349826879,0.0,0.0,0,0
187,TRANSFER,1454812.33,C1860310391,108696.93,0.0,C1306968088,835105.39,2289917.72,0,0
164,PAYMENT,28370.0,C1360210261,246571.63,218201.63,M133123135,0.0,0.0,0,0
589,CASH_IN,270366.93,C48359156,2221108.95,2491475.88,C1447221887,581367.24,311000.31,0,0
210,CASH_IN,110343.78,C326714872,26697.0,137040.78,C611594260,202848.54,92504.76,0,0
235,CASH_IN,43350.42,C1938450050,7473389.67,7516740.1,C19455572,112773.78,69423.36,0,0
44,CASH_IN,50674.05,C180256802,2119.0,52793.05,C1864084023,1223274.39,1172600.34,0,0
44,CASH_IN,23522.54,C187538114,50354.0,73876.54,C332594280,195694.02,172171.48,0,0
132,CASH_OUT,106049.54,C1097894323,310137.0,204087.46,C35478382,28900.99,134950.53,0,0
130,CASH_OUT,318235.71,C158102756,23977.0,0.0,C1209664820,1410586.26,1728821.97,0,0
209,CASH_OUT,53998.77,C1822835755,6048.0,0.0,C1617952717,0.0,53998.77,0,0
321,CASH_IN,242467.11,C436832261,58377.0,300844.11,C791194791,4326573.07,4084105.96,0,0
39,CASH_OUT,249318.35,C606186683,20273.0,0.0,C1805262517,156130.99,74389.37,0,0
331,CASH_IN,134547.67,C1602627165,5248266.9,5382814.57,C1410997475,706099.8,571552.13,0,0
34,CASH_IN,196474.03,C910158277,2243293.74,2439767.77,C1992329654,470938.59,274464.56,0,0
161,CASH_IN,293774.11,C2067414407,88.0,293862.11,C302331807,1384585.3,1188771.11,0,0
211,CASH_IN,175670.89,C1300661971,80400.0,256070.89,C181704271,60107.42,0.0,0,0
401,PAYMENT,1476.06,C633256444,0.0,0.0,M247815950,0.0,0.0,0,0
395,CASH_OUT,123478.82,C737576991,0.0,0.0,C1389235539,328802.56,452281.37,0,0
39,PAYMENT,2757.43,C2117799044,171337.21,168579.77,M972282336,0.0,0.0,0,0
398,CASH_IN,142899.64,C171112105,20867.0,163766.64,C127174762,0.0,0.0,0,0
370,CASH_OUT,324731.59,C1294715415,0.0,0.0,C192763328,520897.71,845629.3,0,0
139,TRANSFER,481295.93,C21300414,29077.0,0.0,C1135394447,0.0,481295.93,0,0
370,PAYMENT,14897.08,C2013179616,8701.0,0.0,M1720073834,0.0,0.0,0,0
297,CASH_IN,139975.73,C1747776036,1117887.82,1257863.54,C1232587888,1301213.02,1161237.3,0,0
400,PAYMENT,20893.4,C1366112609,6409.0,0.0,M1132599899,0.0,0.0,0,0
42,PAYMENT,6346.36,C566470141,0.0,0.0,M2131322563,0.0,0.0,0,0
404,PAYMENT,2770.63,C79043232,0.0,0.0,M915566999,0.0,0.0,0,0
132,CASH_OUT,221724.88,C1563581555,69601.0,0.0,C701894387,24131.45,167322.63,0,0
228,CASH_OUT,81884.28,C334785520,0.0,0.0,C305259590,8453560.62,8535444.9,0,0
235,CASH_OUT,181408.13,C1081370498,25370.0,0.0,C253623001,27526647.72,27708055.85,0,0
324,CASH_OUT,93267.71,C870415525,53804.0,0.0,C1353844986,0.0,93267.71,0,0
131,DEBIT,4880.0,C2086828491,146311.0,141431.0,C846456747,285765.38,290645.38,0,0
135,TRANSFER,684890.89,C1845556439,37399.62,0.0,C1253246753,12549815.9,13234706.79,0,0
326,TRANSFER,1999885.97,C910277488,0.0,0.0,C1285503382,2268474.9,4268360.87,0,0
143,CASH_IN,148179.75,C1637263525,3073793.32,3221973.07,C569874668,1070214.91,922035.17,0,0
15,PAYMENT,11623.89,C1755551581,2104129.87,2092505.98,M2067776395,0.0,0.0,0,0
346,PAYMENT,9663.01,C2146615901,10665.0,1001.99,M109106172,0.0,0.0,0,0
16,TRANSFER,431473.64,C89980654,0.0,0.0,C1174044224,1747291.92,2002248.37,0,0
401,CASH_OUT,286233.48,C922736420,41225.0,0.0,C816467231,1324950.27,1611183.76,0,0
212,CASH_OUT,98592.12,C1328577759,0.0,0.0,C224601835,5513481.11,5612073.23,0,0
206,PAYMENT,3962.4,C392705039,88533.44,84571.04,M1270412867,0.0,0.0,0,0
48,CASH_OUT,89222.64,C1662630741,0.0,0.0,C945875909,2742959.51,2832182.15,0,0
137,CASH_IN,229388.14,C79176740,81272.0,310660.14,C1029154128,116199.92,0.0,0,0
403,TRANSFER,308116.72,C1861966402,216313.34,0.0,C778159115,1017332.25,1325448.97,0,0
617,CASH_OUT,187751.07,C972382077,122846.0,0.0,C379949599,0.0,187751.07,0,0
209,PAYMENT,8766.73,C278641174,0.0,0.0,M668435479,0.0,0.0,0,0
281,CASH_OUT,108280.97,C75751003,99204.0,0.0,C984822097,0.0,108280.97,0,0
285,CASH_IN,181915.92,C491003816,69820.0,251735.92,C896452922,958575.54,776659.62,0,0
187,PAYMENT,6985.44,C52202959,7093.0,107.56,M1331574413,0.0,0.0,0,0
358,TRANSFER,207639.67,C582285585,0.0,0.0,C1556036961,1778457.76,1986097.44,0,0
37,CASH_OUT,90297.38,C256256720,0.0,0.0,C700134642,176331.87,266629.25,0,0
327,CASH_OUT,279912.72,C1055887836,0.0,0.0,C1127524183,409284.4,689197.12,0,0
329,PAYMENT,1995.3,C1455498825,21059.64,19064.34,M2069287562,0.0,0.0,0,0
226,PAYMENT,5441.32,C147461781,30726.0,25284.68,M1151480936,0.0,0.0,0,0
250,CASH_IN,189360.37,C1750668780,3323828.85,3513189.23,C915778349,1666373.33,1477012.96,0,0
161,CASH_IN,67981.28,C317414391,507641.78,575623.06,C1321248654,77042.0,0.0,0,0
185,CASH_OUT,194261.8,C1155598472,0.0,0.0,C644179948,1205052.68,1399314.48,0,0
283,PAYMENT,1302.0,C1229524196,353451.0,352149.0,M795289841,0.0,0.0,0,0
305,CASH_OUT,143938.89,C1878822847,0.0,0.0,C632132307,158611.24,302550.13,0,0
25,CASH_OUT,1144.92,C424530560,143139.0,141994.08,C768863584,1561.48,2706.4,0,0
396,CASH_OUT,62056.09,C22536820,0.0,0.0,C1585306602,1677569.09,1739625.18,0,0
396,TRANSFER,134169.73,C921056091,0.0,0.0,C2008359427,1239199.43,1373369.16,0,0
13,CASH_OUT,294640.72,C283694722,259009.01,0.0,C1883733036,218950.56,513591.28,0,0
42,CASH_OUT,133553.95,C669746467,6256.0,0.0,C59883011,27321.56,160875.51,0,0
43,CASH_OUT,205729.04,C1268332119,111.0,0.0,C2124094148,83368.74,289097.78,0,0
205,CASH_OUT,27423.04,C1666427621,0.0,0.0,C1162186846,1330279.37,1357702.41,0,0
522,CASH_OUT,47286.84,C1729959041,0.0,0.0,C1472433642,2472138.62,2519425.46,0,0
351,PAYMENT,20309.04,C804642665,3327.44,0.0,M1361680953,0.0,0.0,0,0
11,CASH_OUT,192868.42,C439214676,0.0,0.0,C1887021195,2657055.14,2849923.57,0,0
254,CASH_IN,217921.2,C696540000,105379.0,323300.2,C1705610675,3842374.38,3624453.18,0,0
180,CASH_IN,141255.21,C1013548971,3890602.82,4031858.03,C1107698335,159011.73,17756.52,0,0
404,CASH_OUT,59476.94,C469158253,110.0,0.0,C1673609050,2427301.58,2486778.52,0,0
205,PAYMENT,12880.1,C1456758480,378463.42,365583.32,M804882525,0.0,0.0,0,0
235,PAYMENT,5336.43,C1613960890,0.0,0.0,M200324584,0.0,0.0,0,0
330,CASH_OUT,189758.92,C1324915069,0.0,0.0,C91920221,2848224.41,3037983.33,0,0
227,CASH_IN,29696.63,C635395367,1783605.65,1813302.28,C1305056013,96352.4,66655.77,0,0
46,CASH_IN,17207.62,C1443855292,12536068.11,12553275.73,C1607542093,3975913.12,3958705.5,0,0
279,CASH_IN,197020.08,C1490625869,953890.68,1150910.75,C2024487906,431074.2,234054.12,0,0
379,CASH_OUT,176558.02,C1618419582,199017.0,22458.98,C1198148302,0.0,176558.02,0,0
378,CASH_OUT,481051.92,C1280134195,72628.0,0.0,C1994612561,83954.75,565006.67,0,0
229,PAYMENT,38496.78,C1660998335,202773.0,164276.22,M2088009871,0.0,0.0,0,0
309,CASH_OUT,227952.18,C1454718558,49837.0,0.0,C167708885,0.0,227952.18,0,0
39,TRANSFER,2706731.36,C1020017134,0.0,0.0,C563268305,3517950.15,6224681.51,0,0
215,TRANSFER,167931.96,C780165127,54007.0,0.0,C222955719,0.0,167931.96,0,0
346,CASH_OUT,50318.32,C384645030,0.0,0.0,C556562488,108912.97,159231.29,0,0
140,TRANSFER,341305.32,C1196733919,0.0,0.0,C5597330,845033.81,1186339.13,0,0
280,CASH_OUT,182999.15,C1031360386,0.0,0.0,C2018073711,2645973.2,2828972.36,0,0
236,CASH_OUT,176710.6,C141015975,22998.0,0.0,C97920527,326021.63,502732.24,0,0
321,CASH_IN,272697.46,C1941543739,30269.0,302966.46,C2108997616,0.0,0.0,0,0
403,CASH_IN,96614.12,C1677517095,102480.0,199094.12,C672595713,1466555.54,1369941.41,0,0
210,PAYMENT,11053.42,C721726343,40102.86,29049.43,M1440628679,0.0,0.0,0,0
401,TRANSFER,890034.07,C239459058,0.0,0.0,C1977125848,1149912.85,2039946.91,0,0
181,CASH_OUT,186391.92,C623640979,8680.0,0.0,C1897767684,285080.15,471472.07,0,0
349,PAYMENT,30915.27,C1603096946,105400.11,74484.84,M497593701,0.0,0.0,0,0
166,CASH_OUT,315721.05,C331982765,0.0,0.0,C2077780534,530382.65,846103.7,0,0
137,TRANSFER,867188.88,C245336115,0.0,0.0,C913870765,1009056.31,1876245.19,0,0
354,CASH_OUT,71323.44,C1358251919,34292.0,0.0,C1521944996,0.0,71323.44,0,0
18,PAYMENT,909.14,C1923517274,63549.27,62640.13,M1073822117,0.0,0.0,0,0
187,CASH_OUT,471181.56,C1996113064,21135.0,0.0,C292201211,333519.22,804700.78,0,0
231,PAYMENT,11074.58,C2010257964,206372.0,195297.42,M2079112793,0.0,0.0,0,0
420,PAYMENT,8036.72,C1635963558,50232.0,42195.28,M1282313721,0.0,0.0,0,0
325,CASH_OUT,253547.13,C639945243,0.0,0.0,C1562155302,356003.28,609550.41,0,0
249,CASH_IN,223919.87,C314883286,4367896.27,4591816.14,C1681287242,832203.53,608283.66,0,0
141,PAYMENT,18457.63,C235767452,399318.0,380860.37,M1279990964,0.0,0.0,0,0
370,CASH_OUT,460008.21,C1294780580,15210.0,0.0,C1027091788,113708.35,573716.56,0,0
281,PAYMENT,1250.07,C1507402315,22030.0,20779.93,M1182926403,0.0,0.0,0,0
250,CASH_OUT,154347.93,C1868525981,0.0,0.0,C1980464483,2431698.71,2586046.64,0,0
165,CASH_OUT,346339.06,C1261148342,0.0,0.0,C1601903320,2079586.67,2425925.73,0,0
136,TRANSFER,79259.09,C233325791,0.0,0.0,C1003775190,219823.31,299082.39,0,0
281,PAYMENT,3216.87,C1066371881,30754.0,27537.13,M911780981,0.0,0.0,0,0
377,CASH_OUT,11224.39,C20911944,0.0,0.0,C1893091621,156294.83,167519.22,0,0
323,CASH_OUT,51404.51,C67483465,37154.0,0.0,C893061456,0.0,51404.51,0,0
166,PAYMENT,10948.41,C1548451346,342210.0,331261.59,M753242943,0.0,0.0,0,0
372,TRANSFER,172788.76,C1909864355,102292.0,0.0,C1637276638,4546980.45,4719769.21,0,0
393,CASH_OUT,190956.59,C654716479,0.0,0.0,C142837558,876812.06,1067768.65,0,0
161,CASH_OUT,570323.01,C1502074968,169007.0,0.0,C945230286,0.0,570323.01,0,0
540,TRANSFER,835100.02,C850023774,14806.0,0.0,C891190765,96170.5,931270.52,0,0
490,CASH_IN,93712.56,C1785716217,8419628.56,8513341.13,C2001047138,141314.88,47602.32,0,0
161,CASH_OUT,173357.51,C1789732636,10818.68,0.0,C247010458,3083654.12,3257011.63,0,0
164,CASH_IN,165153.59,C365040331,4372010.0,4537163.59,C475453417,3534749.1,3369595.51,0,0
129,TRANSFER,1110593.95,C1257846211,0.0,0.0,C1696583417,1399502.68,2510096.63,0,0
371,TRANSFER,3108432.02,C1257419328,0.0,0.0,C584188268,157141021.87,160424634.77,0,0
139,PAYMENT,5403.99,C1235806473,95631.36,90227.37,M1393960586,0.0,0.0,0,0
348,CASH_IN,348009.29,C157376830,42332.0,390341.29,C925166078,3333530.77,2985521.48,0,0
162,CASH_OUT,51737.0,C1710546225,50244.0,0.0,C309653261,0.0,51737.0,0,0
377,CASH_OUT,134140.04,C202460020,0.0,0.0,C865823227,1045402.71,1179542.75,0,0
15,CASH_IN,76387.28,C274099981,12668527.3,12744914.58,C1601744636,103650.0,0.0,0,0
163,CASH_IN,225892.78,C555000344,24246.0,250138.78,C558763713,135932.0,0.0,0,0
188,CASH_OUT,256316.78,C946193595,2506.74,0.0,C1315052927,3836996.15,4093312.93,0,0
182,PAYMENT,24136.38,C1999521365,5592.0,0.0,M1410950149,0.0,0.0,0,0
303,PAYMENT,4540.02,C981174142,0.0,0.0,M1355218732,0.0,0.0,0,0
372,CASH_IN,248574.67,C917185231,4420697.99,4669272.66,C1245472829,8686170.57,8437595.9,0,0
162,CASH_OUT,324729.76,C354947717,1039.0,0.0,C1506352105,0.0,324729.76,0,0
41,CASH_OUT,393868.63,C779271793,12343.0,0.0,C1701164770,26088.46,419957.09,0,0
212,CASH_OUT,244126.93,C126511312,0.0,0.0,C1115849254,354180.1,598307.03,0,0
256,PAYMENT,593.23,C844212416,27157.0,26563.77,M1710394625,0.0,0.0,0,0
260,PAYMENT,1209.14,C1215986409,15353.0,14143.86,M490243573,0.0,0.0,0,0
398,DEBIT,3527.52,C1092932018,0.0,0.0,C428839088,128034.38,131561.89,0,0
140,CASH_OUT,233875.48,C569255445,0.0,0.0,C2128022929,12109931.75,12155189.68,0,0
178,CASH_OUT,69269.96,C437273074,0.0,0.0,C422103269,210802.53,280072.49,0,0
514,PAYMENT,12342.49,C35478849,1038.0,0.0,M1569896139,0.0,0.0,0,0
163,PAYMENT,8148.33,C1997619160,750.0,0.0,M503990437,0.0,0.0,0,0
252,PAYMENT,18732.66,C636227919,0.0,0.0,M1428493188,0.0,0.0,0,0
13,TRANSFER,850065.47,C594309090,0.0,0.0,C355458737,2346687.63,3196753.1,0,0
119,TRANSFER,753954.37,C306085229,0.0,0.0,C260926985,1459307.12,2213261.49,0,0
275,PAYMENT,36655.09,C1908894128,0.0,0.0,M944653642,0.0,0.0,0,0
346,PAYMENT,21207.2,C26873654,0.0,0.0,M1219681778,0.0,0.0,0,0
355,CASH_OUT,29096.95,C1805451542,29097.16,0.21,C1336280799,32876220.28,32905317.23,0,0
661,CASH_OUT,287370.85,C1478851934,110060.0,0.0,C361544091,0.0,287370.85,0,0
259,PAYMENT,4229.95,C1589927192,0.0,0.0,M469231066,0.0,0.0,0,0
207,PAYMENT,8057.0,C408319596,0.0,0.0,M1038494344,0.0,0.0,0,0
538,TRANSFER,3856775.88,C1611333212,52718.0,0.0,C952186896,1329128.71,5185904.59,0,0
323,CASH_OUT,145174.0,C1222149503,41046.0,0.0,C776672057,183689.03,328863.03,0,0
399,CASH_IN,131508.9,C43397475,42087.0,173595.9,C699045645,10077558.09,9946049.19,0,0
229,PAYMENT,56688.45,C1141429771,10254.0,0.0,M1056517941,0.0,0.0,0,0
396,PAYMENT,5022.91,C421764654,0.0,0.0,M1575611856,0.0,0.0,0,0
259,CASH_IN,402515.4,C1751163120,6407701.27,6810216.67,C977999531,802644.3,400128.9,0,0
44,CASH_OUT,238867.99,C1604938863,0.0,0.0,C704815699,7758191.92,7997059.91,0,0
35,CASH_OUT,83350.4,C1658532680,275003.0,191652.6,C1449732927,0.0,83350.4,0,0
230,CASH_OUT,103003.95,C7240038,6698.0,0.0,C1810328492,45036.95,148040.9,0,0
524,CASH_IN,248750.94,C1432304737,36017.0,284767.94,C1103656935,0.0,0.0,0,0
142,TRANSFER,211017.21,C1397281495,0.0,0.0,C170446860,799786.8,1010804.01,0,0
380,PAYMENT,2331.11,C1410091849,0.0,0.0,M188329326,0.0,0.0,0,0
397,CASH_OUT,69921.6,C1321788525,20481.0,0.0,C1515616498,192008.77,261930.37,0,0
228,CASH_IN,630209.54,C1250538967,573.0,630782.54,C57598535,0.0,0.0,0,0
399,CASH_IN,72674.23,C505960412,102682.0,175356.23,C1983683994,0.0,0.0,0,0
303,CASH_OUT,68618.38,C1515871541,0.0,0.0,C2081527003,6465703.47,6534321.84,0,0
595,CASH_IN,109031.33,C922924694,2438.64,111469.98,C1635243273,320481.0,211449.67,0,0
214,PAYMENT,9514.17,C2022051719,6996.0,0.0,M2110569615,0.0,0.0,0,0
163,CASH_OUT,96440.3,C433112359,0.0,0.0,C102077220,156000.97,252441.27,0,0
209,TRANSFER,605882.05,C1842108668,0.0,0.0,C2089740391,1897145.17,2503027.22,0,0
331,CASH_OUT,491309.47,C886343661,0.0,0.0,C1521469542,5245772.93,5737082.4,0,0
303,PAYMENT,22334.07,C2002908649,18195.85,0.0,M2010578081,0.0,0.0,0,0
545,CASH_OUT,49965.4,C1091566881,5582.0,0.0,C1624070016,0.0,49965.4,0,0
303,CASH_OUT,289986.02,C1880574045,1080.0,0.0,C29937031,1176418.3,1466404.32,0,0
183,CASH_IN,98978.96,C729482397,2732169.92,2831148.88,C2016175113,294578.05,195599.09,0,0
298,CASH_IN,301581.26,C427300177,21160.0,322741.26,C1486946619,0.0,0.0,0,0
305,TRANSFER,1509648.62,C706003442,0.0,0.0,C998017522,1590007.78,3099656.4,0,0
159,PAYMENT,4594.5,C1102703048,56149.0,51554.5,M740343793,0.0,0.0,0,0
297,PAYMENT,65024.63,C1234616982,82.0,0.0,M651144685,0.0,0.0,0,0
302,TRANSFER,215755.21,C1842155711,0.0,0.0,C1578118221,697689.9,913445.11,0,0
